S No,Bucket,Sub-category,Question,Question Type,Video 1,Score,Remarks,Video 2,Score,Remarks,Video 3,Score,Remarks
1,1. The Space,1A. Layout & Boundary,"Is there a clearly defined activity zone, and what defines it visually?",L2,,,,,,,,,
2,1. The Space,1A. Layout & Boundary,"Can a child intuitively understand where to enter the activity, where to stand/sit, and where to leave?",L3,,,,,,,,,
3,1. The Space,1A. Layout & Boundary,Is the activity zone visibly separated from storage / other room functions?,L2,,,,,,,,,
4,1. The Space,1B. Materials & Resources,"What is the central ""anchor object"" of the activity, and is it clearly the focal point?",L2,,,,,,,,,
5,1. The Space,1B. Materials & Resources,"List the distinct materials available at the activity zone, with approximate counts.",L1,,,,,,,,,
6,1. The Space,1B. Materials & Resources,Are materials within child-reach (at the height a 3–5 year old can access independently)?,L3,,,,,,,,,
7,1. The Space,1B. Materials & Resources,"Which senses are engaged by the activity (visual, tactile, auditory, olfactory, kinesthetic)?",L3,,,,,,,,,
8,1. The Space,1C. Aesthetic & Immersive Quality,What is the narrative or theme of the space that immerses the child?,L4,,,,,,,,,
9,1. The Space,1C. Aesthetic & Immersive Quality,"Does the space feel calm and inviting, or chaotic and overstimulating?",L4,,,,,,,,,
10,1. The Space,1C. Aesthetic & Immersive Quality,"Is there a ""wow"" / surprise element that would naturally pull a child's curiosity?",L4,,,,,,,,,
11,1. The Space,1D. Safety,"Are there visible safety concerns (hazards, sharp objects, unstable furniture, slippery floors, swallowable small parts)?",L2,,,,,,,,,
12,1. The Space,1E. Order & Organization,"Is the space ready for the activity — set up before children arrive, with non-activity materials cleared, materials grouped meaningfully?",L3,,,,,,,,,
13,2. The Activity Design,2A. Purpose & Clarity,"What is the learning objective of the activity, inferable from the setup alone (without the teacher explaining it)?",L4,,,,,,,,,
14,2. The Activity Design,2A. Purpose & Clarity,"Is the activity teacher-directed, child-directed, or mixed?",L3,,,,,,,,,
15,2. The Activity Design,2A. Purpose & Clarity,"What developmental skills is this activity targeting (fine motor, gross motor, language, social-emotional, cognitive, creative)?",L4,,,,,,,,,
16,2. The Activity Design,2B. Anchor & Choice,Are choice or variation materials available so children can personalize their engagement (different colors / textures / tools)?,L2,,,,,,,,,
17,2. The Activity Design,2B. Anchor & Choice,"Is there room for individual creativity within the structure, or is there a single ""right"" outcome expected?",L4,,,,,,,,,
18,2. The Activity Design,2C. Developmental Appropriateness,Is the activity's complexity suitable for a 3–5 year old?,L4,,,,,,,,,
19,2. The Activity Design,2C. Developmental Appropriateness,Is the activity duration realistic for the attention span of this age group?,L4,,,,,,,,,
20,2. The Activity Design,2D. Differentiation,Can children at different skill levels engage meaningfully with the same setup?,L4,,,,,,,,,
21,2. The Activity Design,2D. Differentiation,Are there visible extensions (harder challenges) for children who finish quickly or want more?,L2,,,,,,,,,
22,2. The Activity Design,2D. Differentiation,Are there visible supports / scaffolds for children who need more help?,L2,,,,,,,,,
23,2. The Activity Design,2D. Differentiation,"Is the activity equally accessible and inviting for all children, including girls, children with disabilities, and children from different cultural or linguistic backgrounds?",L4,,,,,,,,,
24,2. The Activity Design,2E. Self-Service & Autonomy,Can children start the activity independently without waiting for adult instruction?,L3,,,,,,,,,
25,2. The Activity Design,2E. Self-Service & Autonomy,"Can children replenish, swap, or return materials on their own during the activity?",L3,,,,,,,,,
26,3. The Teacher,3A. Positive Climate,"What is the teacher's overall tone — warm, neutral, or stern?",L3,,,,,,,,,
27,3. The Teacher,3A. Positive Climate,Does the teacher use children's names when addressing them?,L2,,,,,,,,,
28,3. The Teacher,3A. Positive Climate,"Are there visible signs of shared positive moments (smiling, laughter, warm touches, enthusiasm)?",L3,,,,,,,,,
29,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Are there moments of visible teacher frustration, irritation, or impatience?",L3,,,,,,,,,
30,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Does the teacher use sarcasm, a harsh tone, or a raised/shouting voice at any point?",L3,,,,,,,,,
31,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Are threats, punishment language, or warnings used?",L2,,,,,,,,,
32,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Does the teacher make negative comments about children's behavior, abilities, or character?",L2,,,,,,,,,
33,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Is any child publicly shamed, singled out negatively, or compared unfavorably to others?",L3,,,,,,,,,
34,3. The Teacher,3B. Negative Climate / Teacher Red Flags,"Are there any instances where children may be unsafe — bad touch, physical roughness, abrupt handling, or unnecessary restriction of children?",L3,,,,,,,,,
35,3. The Teacher,3C. Teacher Sensitivity,"Does the teacher notice when a child needs help, is upset, or is hesitating?",L3,,,,,,,,,
36,3. The Teacher,3C. Teacher Sensitivity,"Does the teacher respond to individual children's emotional cues (distress, excitement, confusion)?",L3,,,,,,,,,
37,3. The Teacher,3C. Teacher Sensitivity,How does the teacher address problems when they arise?,L3,,,,,,,,,
38,3. The Teacher,3C. Teacher Sensitivity,"Do children seek out the teacher for help, comfort, or to share something?",L3,,,,,,,,,
39,3. The Teacher,3D. Regard for Student Perspectives,"Does the teacher invite children's choices, ideas, or opinions during the activity?",L3,,,,,,,,,
40,3. The Teacher,3D. Regard for Student Perspectives,"Are children physically free to move, shift positions, or take breaks?",L2,,,,,,,,,
41,3. The Teacher,3D. Regard for Student Perspectives,"Does the teacher follow children's leads or interests at times, vs sticking strictly to the plan?",L4,,,,,,,,,
42,3. The Teacher,3D. Regard for Student Perspectives,"Are children's contributions (questions, comments, made-up rules) welcomed or shut down?",L3,,,,,,,,,
43,3. The Teacher,3E. Behavior Management,Are expectations and rules for the activity communicated clearly to children?,L2,,,,,,,,,
44,3. The Teacher,3E. Behavior Management,How does the teacher manage disruptions in the classroom?,L3,,,,,,,,,
45,3. The Teacher,3E. Behavior Management,How does the teacher handle a child who seems distressed?,L3,,,,,,,,,
46,3. The Teacher,3E. Behavior Management,How does the teacher handle conflicts between children?,L3,,,,,,,,,
47,3. The Teacher,3E. Behavior Management,How does the teacher handle a child who refuses to participate or seems disengaged?,L3,,,,,,,,,
48,3. The Teacher,3F. Productivity,"Are transitions (start, mid-activity shifts, cleanup) smooth and quick, or messy and slow?",L3,,,,,,,,,
49,3. The Teacher,3F. Productivity,"How many minutes are spent on the activity vs setup, transition, and waiting?",L1,,,,,,,,,
50,3. The Teacher,3F. Productivity,Are there any lulls or moments where the activity stalls and loses momentum?,L3,,,,,,,,,
51,3. The Teacher,3F. Productivity,"Does the activity have a clear wrap-up / ending, or does it fade out?",L2,,,,,,,,,
52,3. The Teacher,3G. Instructional Learning Formats,"Which instructional formats does the teacher use to engage children (e.g. songs, hands-on, demonstration, gesture, storytelling, movement, role-play)?",L2,,,,,,,,,
53,3. The Teacher,3G. Instructional Learning Formats,"Are children given hands-on opportunities to do the activity, vs just watching or listening?",L2,,,,,,,,,
54,3. The Teacher,3H. Concept Development,"Does the teacher ask ""why"" or ""how"" questions that prompt children to think (e.g. ""what do you think will happen if…"")?",L2,,,,,,,,,
55,3. The Teacher,3H. Concept Development,Does the teacher make connections to real-world experiences or to what children already know?,L3,,,,,,,,,
56,3. The Teacher,3H. Concept Development,"Does the teacher encourage children to be creative, generate their own ideas, or solve problems themselves?",L4,,,,,,,,,
57,3. The Teacher,3I. Quality of Feedback,"Does the teacher offer hints, prompts, or partial answers rather than giving the full answer right away?",L3,,,,,,,,,
58,3. The Teacher,3I. Quality of Feedback,Does the teacher adjust the level of support based on individual children's needs?,L4,,,,,,,,,
59,3. The Teacher,3I. Quality of Feedback,Does the teacher follow up on children's responses with additional questions or extensions?,L3,,,,,,,,,
60,3. The Teacher,3I. Quality of Feedback,"Is encouragement specific (praising effort, strategy, or specific actions) or generic (""good job"")?",L3,,,,,,,,,
61,3. The Teacher,3J. Language Modeling,"Are the teacher's questions mostly open-ended (extending thinking) or closed (yes/no, one-word answers)?",L2,,,,,,,,,
62,3. The Teacher,3J. Language Modeling,"Does the teacher use rich, varied vocabulary appropriate to the activity?",L3,,,,,,,,,
63,3. The Teacher,3J. Language Modeling,"Does the teacher name objects, actions, and feelings explicitly as they happen?",L2,,,,,,,,,
64,3. The Teacher,3J. Language Modeling,"Does the teacher repeat and extend children's language (e.g. child says ""red,"" teacher says ""yes, a bright red roller"")?",L3,,,,,,,,,
